Address,lat,lon
"ACTS COMMUNITY DEVELOPMENT CORPORATION , 2114 MERMAID AVE , Brooklyn, 11224, NY",40.5759906,-73.9883977
"ADMIRABLE CHURCH INC , 1910 FLATBUSH AVENUE , Brooklyn, 11210, NY",40.623102,-73.93775529999999
"APNA FOOD PANTRY BRIGHTON BEACH , 225 NEPTUNE AVENUE , Brooklyn, 11235, NY",40.5818456,-73.9616269
"BAY VIEW HOUSES RESIDENT ASSOCIATION , 2085 ROCKAWAY PARKWAY , Brooklyn, 11236, NY",40.6330489,-73.8867909
"BEDFORD CENTRAL PRESBYTERIAN CHURCH , 1200 DEAN STREET , Brooklyn, 11216, NY",40.6766108,-73.9497195
" BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS , 8635 21ST AVE , Brooklyn, 11214, NY",40.6023906,-73.9966195
"BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH , 2059 BEDFORD AVENUE , Brooklyn, 11226, NY",40.6543821,-73.9560858
"BETHANY UNITED METHODIST CHURCH , 1208 ST. JOHN'S PLACE , Brooklyn, 11213, NY",40.6706776,-73.93825079999999
"BETHEL SEVENTH-DAY ADVENTIST CHURCH , 457 GRAND AVENUE , Brooklyn, 11238, NY",40.6817055,-73.96125789999999
"BETHLEM NATION'S FOOD PANTRY , 1962-84 LINDEN BLVD , Brooklyn, 11207, NY",40.6588324,-73.8890665
"BEULAH CHURCH OF GOD IN CHRIST JESUS , 956 MARCY AVENUE , Brooklyn, 11216, NY",40.6806106,-73.94647549999999
"BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURANCE CHARITY INC, 2093 FULTON STREET, Brooklyn, 11233, NY",40.6784171,-73.9093279
"BLESSED SACRAMENT CHURCH , 198 EUCLID AVENUE , Brooklyn, 11208, NY",40.6837322,-73.87475529999999
" BNAI RAPHAEL CHESED ORGANIZATION INC , 3846 FLATLANDS AVENUE , Brooklyn, 11234, NY",40.6195675,-73.9375285
"BRCDC FOOD PROGRAM , 9818 FORT HAMILITON PARKWAY , Brooklyn, 11209, NY",40.6128608,-74.0313629
"BROOKLYN MEAL SHARE, 1323 FOSTER AVENUE , Brooklyn, 11230, NY",40.6337692,-73.96417079999999
"BROOKLYN RESCUE MISSION URBAN HARVEST CENTER INC , 919 GATES AVENUE , Brooklyn, 11221, NY",40.6888667,-73.9290235
"BROOKLYN WEST FAMILY CENTER , 19 SIDNEY STREET , Brooklyn, 11201, NY",40.6927803,-73.99178500000001
"BROWN MEMORIAL BAPTIST CHURCH FOOD PANTRY , 484 WASHINGTON AVENUE , Brooklyn, 11238, NY",40.684338,-73.9658236
"BROWNSVILLE TEMPLE SDA CHURCH , 1089 CLARKSON AVE , Brooklyn, 11212, NY",40.6600091,-73.9222158
"CALVARY PENTECOSTAL CHURCH , 151 WOODRUFF AVENUE , Brooklyn, 11226, NY",40.6545479,-73.9611929
"CAMP FRIENDSHIP FOOD PANTRY IN PARK SLOPE , 339 8TH STREET , Brooklyn, 11215, NY",40.6690484,-73.9837726
"CATHOLIC CHARITIES , 2866 WEST 17TH STREET , Brooklyn, 11224, NY",40.5772252,-73.985092
"CCC NEW YORK PARISH FOOD PANTRY OUTREACH PROGRAM , 1380 JEFFERSON AVENUE , Brooklyn, 11237, NY",40.694553,-73.90970399999999
"CENTER FOR FAMILY LIFE , 443 39TH STREET , Brooklyn, 11232, NY",40.6520088,-74.0047416
"CHANCE FOR CHILDREN , 11 McKEEVER PLACE - 1ST FLOOR (BASEMENTBK LEVEL) , Brooklyn, 11225, NY",40.665685,-73.9584047
"CHILD DEVELOPMENT SUPPORT CORPORATION , 352-358 CLASSON AVE , Brooklyn, 11238, NY",40.6885337,-73.9601058
"CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC , 1171 EAST 95TH STREET , Brooklyn, 11236, NY",40.6422446,-73.9017884
"CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY , 622 CORTELYOU ROAD , Brooklyn, 11218, NY",40.638429,-73.9719396
"CHRISTIAN CULTURAL CENTER , 716 CHESTER STREET , Brooklyn, 11236, NY",40.6537007,-73.90774910000002
"CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-F.P. , 777 SCHENECTADY AVENUE , Brooklyn, 11203, NY",40.6542566,-73.93341629999999
"CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-S.K. , 777 SCHENECTADY AVENUE , Brooklyn, 11203, NY",40.6542566,-73.93341629999999
