"NTA2020","med_income","med_income_cv","num_households"
"BK0101","94,419","4.5","16,242"
"BK0102","101,461","4.1","25,403"
"BK0103","30,501","6.7","10,419"
"BK0104","59,718","6.3","22,920"
"BK0201","138,722","7.3","11,150"
"BK0202","121,624","5.9","15,827"
"BK0203","72,663","8","14,049"
"BK0204","91,542","5.4","11,747"
"BK0261","118,910",NA,"3"
"BK0301","56,647","4.2","30,981"
"BK0302","56,219","4.7","33,586"
"BK0401","59,975","5.7","19,646"
"BK0402","51,650","5.1","20,914"
"BK0471","9,999-",NA,"0"
"BK0501","54,093","5.7","12,644"
"BK0502","39,343","5.8","13,660"
"BK0503","36,949","6.4","18,599"
"BK0504","31,905","8.6","7,671"
"BK0505","36,438","4.9","15,113"
"BK0571","9,999-",NA,"0"
"BK0601","101,078","5.5","25,024"
"BK0602","148,058","3.4","24,513"
"BK0701","114,734","6.8","9,890"
"BK0702","59,839","5.8","16,320"
"BK0703","51,138","5","13,424"
"BK0771","9,999-",NA,"0"
"BK0801","114,855","6.9","9,791"
"BK0802","50,047","4.7","34,556"
"BK0891","9,999-",NA,"0"
"BK0901","52,917","4.5","19,417"
"BK0902","57,637","5.2","19,405"
"BK1001","77,155","3.6","33,708"
"BK1002","63,322","6.2","13,968"
"BK1061","108,941","8","335"
"BK1091","9,999-",NA,"11"
"BK1101","54,157","3.4","32,772"
"BK1102","65,926","8.6","11,312"
"BK1103","57,255","5.7","19,594"
"BK1201","44,368","6.1","8,591"
"BK1202","39,115","5.5","19,987"
"BK1203","66,377","6.8","13,662"
"BK1204","60,880","7.7","11,244"
"BK1301","46,434","8.1","10,978"
"BK1302","33,880","6.2","20,100"
"BK1303","41,400","9.6","12,960"
"BK1391","9,999-",NA,"0"
"BK1401","58,952","3.4","25,445"
"BK1402","62,282","5.7","14,718"
"BK1403","59,172","5.3","17,288"
"BK1501","61,783","5.8","17,668"
"BK1502","72,610","5.5","14,744"
"BK1503","64,429","5.5","25,483"
"BK1601","41,449","7.2","13,968"
"BK1602","20,415","6.9","20,117"
"BK1701","56,199","5.1","16,245"
"BK1702","60,264","5.2","12,408"
"BK1703","55,428","5.2","14,742"
"BK1704","44,291","5.8","14,812"
"BK1771","137,500",NA,"5"
"BK1801","78,224","4","23,191"
"BK1802","93,878","3.9","16,052"
"BK1803","71,741","3.7","29,541"
"BK1891","9,999-",NA,"0"
"BK1892","9,999-",NA,"0"
"BK1893","9,999-",NA,"0"
"BK5591","9,999-",NA,"0"
"BK5691","200,000+",NA,"4"
"BK5692","9,999-",NA,"0"
"BK5693","9,999-",NA,"0"
"BX0101","22,997","7.5","19,355"
"BX0102","28,587","5.6","14,837"
"BX0201","24,336","11.5","4,800"
"BX0202","27,698","5.7","13,332"
"BX0291","9,999-",NA,"0"
"BX0301","27,701","10.1","12,547"
"BX0302","26,305","10","7,939"
"BX0303","28,952","9.5","10,008"
