facility_name,longitude,latitude,description,address1,city,state,fac_zip
Bedford Medical Family Health Center Inc,"-73.962517","40.704281",Diagnostic and Treatment Center,100 Ross Street,Brooklyn,New York,"11211"
Jane Adams High School,"-73.903717","40.82114",School Based Diagnostic and Treatment Center Extension Clinic,900 Tinton Avenue,Bronx,New York,"10456"
Utica Avenue Dialysis Clinic,"-73.929131","40.640694",Diagnostic and Treatment Center,1305 Utica Avenue,Brooklyn,New York,"11203"
Bronx Dialysis Center,"-73.845772","40.844891",Diagnostic and Treatment Center,1615-1617 Eastchester Road,Bronx,New York,"10461"
HSS - Midtown,"-73.967795","40.76313",Hospital Extension Clinic,770 Lexington Avenue,New York,New York,"10065"
"Gramercy Surgery Center, Inc","-73.981209","40.737343",Diagnostic and Treatment Center,"380 2nd Avenue, Suite 1000",New York,New York,"10010"
BronxCare Dental Services,"-73.909653","40.8465",Diagnostic and Treatment Center Extension Clinic,1775 Grand Concourse,Bronx,New York,"10453"
Morrisania Dialysis Center,"-73.912041","40.831406",Diagnostic and Treatment Center Extension Clinic,1160 Teller Avenue,Bronx,New York,"10456"
Segundo Ruiz Belvis D & T Center,"-73.916794","40.810146",Diagnostic and Treatment Center,545 East 142nd Street,Bronx,New York,"10454"
X151,"-73.921303","40.822632",School Based Hospital Extension Clinic,250 East 156th Street,Bronx,New York,"10451"
Mount Sinai Hospital - Mount Sinai Hospital of Queens,"-73.924461","40.768269",Hospital,25-10 30th Avenue,Long Island City,New York,"11102"
Brookdale Family Care Center Inc,"-73.869911","40.667793",Diagnostic and Treatment Center,2554 Linden Blvd,Brooklyn,New York,"11208"
Gateway Dialysis Center,"-73.898575","40.643051",Diagnostic and Treatment Center,1170 East 98th Street,Brooklyn,New York,"11236"
JHS 220 Pershing,"-74.000595","40.640743",School Based Hospital Extension Clinic,4812 9th Ave,Brooklyn,New York,"11220"
Ambulatory Psychiatric Center,"-73.96067","40.805019",Hospital Extension Clinic,411 West 114th Street,New York,New York,"10025"
Cumberland Diagnostic & Treatment Center,"-73.976257","40.695091",Diagnostic and Treatment Center,100 North Portland Avenue,Brooklyn,New York,"11205"
BronxCare Medical and Dental at Poe,"-73.897896","40.860546",Diagnostic and Treatment Center Extension Clinic,2432 Grand Concourse,Bronx,New York,"10458"
Rockefeller University Hospital,"-73.956512","40.762962",Hospital,1230 York Avenue,New York,New York,"10021"
Medwise Center,"-73.851265","40.687325",Hospital Extension Clinic,91-10 Atlantic Avenue,Ozone Park,New York,"11416"
Wards Island Project,"-73.931857","40.786139",Diagnostic and Treatment Center Extension Clinic,"111 Sunken Garden Loop, Suite 137-143",New York,New York,"10035"
Casa Promesa Primary Medical Care Services,"-73.898247","40.82148",Diagnostic and Treatment Center Extension Clinic,915 Westchester Avenue,Bronx,New York,"10459"
